latitude,longitude,magnitude,time,catalog_id
-43.00105012784008,173.15412298128962,4.4,2016-11-27 23:07:15.815681023,10
-42.54065258634125,172.83767053441372,4.4,2017-02-03 00:53:28.031122274,10
-42.59222435909547,173.03456590647698,4.1,2016-12-21 03:44:13.795279518,10
-42.01594635981208,173.40873115138083,4.4,2016-11-17 04:55:49.680218148,10
-41.50726651211839,174.31737242892035,4.4,2016-11-16 02:55:58.315199500,10
-41.70336936826161,174.26592470568048,4.5,2016-11-15 13:28:47.648874489,10
-41.74804077672496,174.26647502480475,4.6,2016-11-17 05:51:31.546771247,10
-42.01840472635176,173.84507413969666,4.7,2016-11-19 07:15:17.646649607,10
-42.55783969225689,173.8262716078848,4.2,2016-11-24 19:28:57.080799642,10
-38.06315314240642,176.58749480259473,4.4,2016-11-20 14:02:27.478834,11
-37.84776092406446,176.48887713520796,4.2,2016-12-20 13:33:15.737762,11
-38.1436476356354,178.0310579165297,4.7,2017-02-01 17:05:46.230256,11
-40.54021328600896,174.6679539510663,4.1,2017-02-11 18:09:38.435930,11
-36.70239781930924,176.87048063136166,4.2,2017-01-11 21:59:13.783044605,11
-45.45217878425017,166.72489634683765,4.1,2017-01-19 02:52:03.723609161,11
-41.97061195333771,173.6357825789203,5.1,2016-12-03 08:02:39.043798119,11
-42.71153603283487,172.85651818412072,4.1,2016-11-14 23:15:07.015359019,11
-42.85287645093658,173.91523520455289,4.3,2016-11-18 07:29:43.819080987,11
-42.42601390352218,173.83427362632662,4.4,2016-11-14 07:43:53.778947672,11
-42.167691965421305,173.4713402081412,4.3,2017-01-09 23:45:24.866137198,11
-42.14188412972504,173.64863662893956,4.3,2016-11-17 17:21:57.103586811,11
-42.15297005587461,173.66243647811092,4.1,2016-11-16 21:21:28.168180562,11
-41.70172635265243,174.29854514413964,5.2,2016-11-18 21:19:28.611752292,11
-42.18210106682883,173.6155696184938,4.4,2017-01-25 04:34:57.073899850,11
-41.722113023131165,174.32896293670694,4.2,2016-12-31 04:46:35.510058831,11
-41.67408544608296,174.24200528581702,4.1,2016-11-14 04:01:45.147648575,11
-41.70655468838601,174.21386734462868,5.4,2016-12-25 19:09:23.129921749,11
-42.71428891250143,172.79922284527314,4.1,2016-12-01 15:35:47.900750840,11
-42.4827107946694,173.17655589373888,4.1,2016-12-18 23:50:48.320480346,11
-42.43585243854635,173.30025535051226,4.3,2016-11-18 08:16:42.637282497,11
-42.32505519853752,173.45127455565284,4.7,2016-11-17 01:06:07.915526561,11
-41.75453376628044,174.13986799125652,4.2,2016-12-08 07:29:11.789000525,11
-41.71513684241681,174.33477549752558,4.4,2017-01-08 02:54:05.183577296,11
-37.21378956397268,176.8377784085229,4.3,2016-11-26 22:57:51.763788,12
-38.421331051836425,175.9609140701144,4.2,2016-12-26 05:38:23.999534,12
-41.04456171028161,175.03837338707848,4.3,2017-01-08 10:57:23.113361,12
-36.30630203736871,178.79999246264336,5.2,2017-01-11 07:04:48.875357,12
-36.85473291801516,179.10447243350777,4.2,2017-02-10 22:37:01.054287986,12
-35.07669710977234,179.71726810932762,4.2,2016-12-10 02:30:38.730779459,12
-36.94757568701508,179.07693518618407,4.4,2017-01-09 19:23:38.865215506,12
-42.17968163619539,173.78604740746655,4.1,2017-01-09 22:44:51.069898688,12
-42.07601343559048,173.77776557832462,4.4,2016-11-25 07:01:03.385291136,12
-41.75538258611206,174.25629316737894,4.5,2016-11-14 20:43:18.296302729,12
-42.02924931219896,173.9933980258086,4.2,2016-11-14 22:04:53.368742029,12
-42.00125130872141,174.0047001087428,4.6,2016-11-15 21:35:37.089914528,12
-42.55319321842886,173.18094158107724,4.3,2016-11-19 01:05:54.318043114,12
-42.6140312766568,173.25999998718638,4.3,2016-11-14 07:43:24.565883896,12
